# ref_id x y z occupancy n_extra
130040 -74.87145039 -12.37107783 8.75270424 3 2
130115 -76.75570976 -10.78455741 8.93992306 2 1
130117 -74.86656210 -10.61351974 7.03278145 2 1
130119 -73.10406455 -10.56704505 8.84814786 2 1
130120 -74.96181363 -8.95675488 8.99467389 2 1
130193 -78.52187571 -7.07925388 7.27004068 2 1
130194 -76.74482233 -5.44911486 7.19554004 2 1
130196 -78.58321738 -5.39077536 9.13403209 2 1
130198 -73.17955991 -5.45391842 7.24469060 2 1
130199 -73.22615210 -7.09514700 9.04813561 2 1
130277 -74.94115679 -3.59756134 7.16341740 2 1
130278 -73.21395424 -1.74244375 7.19539691 2 1
130279 -73.22559862 -3.63262356 8.94527792 2 1
130280 -74.91766078 -1.92056834 8.97183250 2 1
130353 -78.47903077 -0.04567280 7.18811942 2 1
130357 -74.93825752 -0.02364494 7.10586875 2 1
130439 -73.23381558 3.57467472 8.83903909 2 1
130593 -78.63192835 10.69859940 7.20312308 2 1
130596 -78.53548876 12.53757862 8.93098040 2 1
130597 -75.04150905 10.65544169 7.26546805 2 1
130599 -73.29919916 10.66742150 8.96599609 2 1
130600 -75.17269502 12.52495249 8.92804785 2 1
130717 -74.92262101 -10.64316315 10.61517808 2 1
130798 -73.20670426 -5.30358843 10.82578825 2 1
130799 -73.24009681 -7.08449550 12.52208174 2 1
130800 -75.04259738 -5.32397122 12.58478589 2 1
130874 -76.75814138 -1.90172412 10.65275524 2 1
130879 -73.22812002 -3.55604446 12.58141445 2 1
130958 -73.20830910 1.65707269 10.75494791 2 1
131318 -73.22402611 -9.02269292 14.22958509 2 1
131479 -73.31841350 -3.49670795 15.98166118 2 1
138598 -73.07897149 -5.29709172 57.10951836 2 1
310558 -1.67957535 -73.16126653 -32.03404884 2 1
310638 -1.62009570 -69.67494414 -32.04748639 2 1
311839 -1.78037578 -67.88971418 -23.20307561 2 1
312399 -1.80621597 -67.95181365 -19.63561401 2 1
312958 -1.85527644 -66.04939040 -17.91738132 2 1
314079 -1.72969966 -67.77098023 -9.00475226 2 1
314638 -1.80744980 -66.00370857 -7.11518617 2 1
334878 -1.74659966 -62.46704701 -21.45602458 2 1
334879 -1.83392124 -64.28114953 -19.77754224 2 1
334959 -1.71229863 -60.59840611 -19.67990148 2 1
335039 -1.73973819 -57.04667044 -19.56371366 2 1
335478 -1.70309990 -62.55789127 -17.92354857 2 1
335558 -1.73095320 -58.85174172 -17.86917686 2 1
336078 -1.71412439 -62.42413126 -14.40943110 2 1
336080 -3.66967201 -62.32604931 -12.65150882 2 1
336158 -1.87412975 -58.85615050 -14.38809553 2 1
336839 -1.81625759 -57.07708283 -8.95427849 2 1
337277 -3.52069290 -64.19250663 -7.15592009 2 1
337358 -1.89128531 -58.90931293 -7.28829519 2 1
337359 -1.96522784 -60.68154782 -5.38077534 2 1
