# id type x y z dist_to_ref defect_prob defect_type
77 1 5.72023000 -30.96460000 -12.13640000 0.58944121 0.99995641 Unknown
78 1 4.86680000 32.23090000 9.00616000 0.11284665 0.30788708 Lattice
79 1 22.93860000 8.51328000 -20.62290000 0.11153427 0.30197212 Lattice
80 1 16.05270000 -12.24910000 -18.91560000 0.11754214 0.32918933 Lattice
81 1 24.12380000 -10.24780000 -17.82650000 0.11238213 0.30579132 Lattice
82 1 -12.94300000 -30.71110000 -6.56774000 0.35768941 0.97521072 Unknown
83 1 16.01140000 8.54816000 -28.76210000 0.13313797 0.40085374 Lattice
84 1 -21.69020000 -23.15400000 -11.94470000 0.12204034 0.34975895 Lattice
85 1 15.26730000 -49.17030000 -39.32670000 0.98254584 1.00000000 Unknown
86 1 27.28360000 13.05420000 -7.24858000 0.11566718 0.32065909 Lattice
87 1 33.05790000 1.88617000 19.84960000 0.11070864 0.29826092 Lattice
88 1 -7.68374000 34.81260000 -4.24516000 0.10375111 0.26734008 Lattice
89 1 26.05250000 -13.88920000 -5.38922000 0.11505458 0.31787863 Lattice
90 1 9.81038000 7.23798000 -28.43310000 0.12120077 0.34591014 Lattice
91 1 26.66820000 14.14520000 -2.71559000 0.10793556 0.28585687 Lattice
92 1 9.54571000 7.67398000 -31.25340000 0.11878544 0.33486120 Lattice
93 1 12.06760000 -0.86503400 -28.44500000 0.12265003 0.35255630 Lattice
94 1 25.55240000 20.14590000 -11.85420000 0.11696673 0.32656836 Lattice
95 1 8.56293000 -14.20730000 -25.50240000 1.09527567 1.00000000 Unknown
96 1 7.70228000 6.85987000 -32.67140000 0.12051902 0.34278775 Lattice
97 1 27.07780000 1.11226000 -19.25100000 0.08729738 0.19766725 Lattice
98 1 25.95620000 15.47290000 -11.15790000 0.10527350 0.27404677 Lattice
99 1 26.22140000 -9.86021000 -13.51900000 0.11479566 0.31670448 Lattice
100 1 18.76240000 -12.99520000 -19.24020000 0.11922523 0.33687019 Lattice
101 1 17.67280000 29.86520000 -1.00347000 0.11185083 0.30339714 Lattice
102 1 -3.36572000 -3.05577000 34.44970000 0.10850058 0.28837620 Lattice
103 1 29.08790000 -11.18620000 2.05857000 0.12466183 0.36179881 Lattice
104 1 32.08000000 0.08370780 0.63501700 0.12252627 0.35198832 Lattice
105 1 8.05581000 -23.55280000 -19.44870000 0.61571639 0.99998254 Unknown
106 1 17.06660000 -15.10140000 24.04430000 0.11572121 0.32090447 Lattice
107 1 19.11960000 23.07430000 13.73380000 0.11322014 0.30957376 Lattice
108 1 26.61490000 6.05071000 -9.70083000 0.11476689 0.31657401 Lattice
109 1 19.53930000 2.27419000 -22.79070000 0.11771318 0.32996891 Lattice
110 1 26.54520000 14.36890000 -15.67210000 0.11915909 0.33656798 Lattice
111 1 -15.35000000 7.48054000 -31.03700000 0.09867751 0.24526871 Lattice
112 1 2.07526000 -12.90840000 29.60520000 0.11055548 0.29757332 Lattice
113 1 14.79440000 -1.57066000 -28.76880000 0.13466511 0.40789321 Lattice
114 1 28.99900000 -2.74346000 6.24696000 0.11112690 0.30014001 Lattice
115 1 31.43120000 -3.13983000 16.21530000 0.07026889 0.13298014 Lattice
116 1 -12.02070000 16.74700000 28.09090000 0.12100397 0.34500853 Lattice
117 1 22.94560000 -12.27570000 -10.72780000 0.11085679 0.29892626 Lattice
118 1 9.46520000 11.87070000 -29.20480000 0.11565189 0.32058965 Lattice
