# id type pc1 pc2 pc3 dist_to_ref defect_type
330 1 -0.10245049 -0.05502566 0.02747359 0.12244289 Lattice
331 1 -0.10652463 -0.04607282 0.00876142 0.11727830 Lattice
332 1 -0.09046266 -0.06803500 0.01788902 0.11585984 Lattice
333 1 -0.10208651 -0.03557648 0.00025615 0.10997591 Lattice
334 1 -0.10506622 -0.04135179 0.01113373 0.11373646 Lattice
335 1 -0.10642866 -0.04367110 0.00626859 0.11674572 Lattice
336 1 -0.10580932 -0.04421072 0.01113039 0.11536860 Lattice
337 1 -0.10655072 -0.04420450 0.00816888 0.11647125 Lattice
338 1 0.05943496 -0.24093416 0.11144372 0.43184068 Unknown
339 1 -0.10797801 -0.04558630 0.01021217 0.11821583 Lattice
340 1 -0.10689544 -0.04472190 0.01023908 0.11670284 Lattice
341 1 -0.10481611 -0.04016735 0.00482980 0.11352670 Lattice
342 1 -0.09980555 -0.05872778 0.02286144 0.11998072 Lattice
343 1 -0.10587750 -0.04278438 0.01382727 0.11511329 Lattice
344 1 -0.10933164 -0.05028199 0.01658173 0.12156289 Lattice
345 1 -0.10410738 -0.04685502 0.01699352 0.11623076 Lattice
346 1 0.35550585 -0.30096336 0.19433901 0.83905640 Unknown
347 1 -0.10086433 -0.04029249 0.01334532 0.11008296 Lattice
348 1 0.40029320 -0.29121406 0.18064390 1.03384162 Unknown
349 1 -0.09554738 -0.02403921 0.00190943 0.09911217 Lattice
350 1 0.21898380 -0.25314879 0.18420612 0.99473423 Unknown
351 1 -0.01958144 -0.09336189 0.03406600 0.16013015 Unknown
352 1 0.01304609 -0.11291711 -0.00999079 0.15568296 Unknown
353 1 0.54945444 -0.14722592 0.03033895 0.71378430 Unknown
354 1 -0.03926118 -0.00827805 -0.03898198 0.06219218 Lattice
355 1 -0.10456154 -0.04087752 0.00732958 0.11300256 Lattice
356 1 -0.10587431 -0.04143151 0.00744492 0.11462051 Lattice
357 1 -0.10524819 -0.03732163 0.00065146 0.11435206 Lattice
358 1 -0.10691546 -0.07433455 0.03332606 0.13730617 Lattice
359 1 -0.10474784 -0.04003843 0.00424699 0.11344234 Lattice
360 1 -0.10159544 -0.07196154 0.02865453 0.12960074 Lattice
361 1 -0.10605529 -0.04186019 0.00735595 0.11493873 Lattice
362 1 -0.10920208 -0.04854219 0.01113336 0.12117561 Lattice
363 1 -0.10680260 -0.04196941 0.00626811 0.11602809 Lattice
