# x y z d_near_max n_grid_pts
67.66445679 9.73817593 -19.72540610 2.14100372 2
7.74021461 9.23878229 14.23225503 2.13899131 6
9.73768935 -58.17935877 -21.72291557 2.13767850 4
0.74905303 51.68724148 -65.16874672 2.13235060 8
5.74273988 8.73938866 55.68057670 2.12586409 7
-14.23200752 -19.22665504 -66.66687883 2.12400213 6
-6.24210856 16.72968686 32.20984034 2.12191739 8
3.24589645 -14.73211231 -59.17621829 2.12139683 2
26.71622464 13.23393139 -49.68804827 2.12096528 3
-5.74273988 28.71513416 1.24844342 2.11812210 4
8.23958330 21.22422959 -33.20859507 2.11628695 2
27.71496201 0.24969682 21.22353821 2.11463852 5
10.23705804 -68.16723152 63.67061462 2.11404105 4
21.72253779 16.23029322 50.68680301 2.11357475 5
11.73516409 -4.74423956 -39.20112351 2.11286314 3
8.23958330 42.69815601 58.17746355 2.11282438 7
11.23579541 2.24727137 17.72789662 2.11232865 4
26.71622464 8.73938866 50.18742564 2.11218123 4
-19.72506305 -3.24605864 -40.69925562 2.11098030 2
16.72885094 -12.23514412 59.17621829 2.10938082 9
-57.17771441 -3.24605864 26.21731190 2.10918611 2
0.24968434 -26.71755961 -44.69427457 2.10836640 4
3.24589645 -10.73696321 -33.20859507 2.10597533 6
5.74273988 -0.74909046 -26.71668927 2.09838313 1
-8.73895198 -0.24969682 -3.74533027 2.09619879 4
8.73895198 30.21331507 3.24595290 2.09613464 6
-2.74652777 46.69330511 44.19489720 2.09526368 2
-35.70486096 -1.74787773 -41.19863299 2.09430303 6
11.73516409 -0.24969682 -65.16874672 2.09270268 2
20.22443173 18.22786777 46.69178405 2.09000231 6
-0.24968434 -30.71270871 -23.22104768 2.08690524 3
-26.71622464 18.72726141 -57.17870881 2.08562691 6
-22.22190647 24.22059142 16.22976451 2.08547442 4
30.21180543 -31.21210234 -51.18618038 2.07423429 3
12.23453278 -19.72604868 68.16501094 2.07387943 2
-57.17771441 -9.73817593 -48.18991616 2.07364917 2
-47.68970940 -11.23635684 61.67310514 2.06211209 3
84.64299207 8.23999502 -69.66314305 2.05671285 2
28.71369938 1.24848409 -53.18368986 2.05486900 3
-18.72632568 -12.23514412 -28.71419875 2.05423205 2
23.72001253 7.74060138 -50.68680301 2.05281154 2
1.24842171 -59.67753968 -32.70921770 2.04995060 2
-20.22443173 20.22544232 -4.24470764 2.04030990 3
0.24968434 7.24120774 45.19365194 2.03884307 2
20.72380042 33.70907053 -18.22727399 2.03881054 2
-24.71874990 24.22059142 13.73287766 2.03876575 1
-52.18402756 4.24484592 -25.71793453 2.03780354 1
6.24210856 -9.23878229 -35.20610455 2.02700087 2
-66.66571942 -6.24242047 -25.21855716 2.02392715 1
-68.16382547 -1.74787773 70.16252042 2.02223329 1
-73.65688101 11.73575048 -55.18119933 2.02090211 1
7.74021461 -70.16480607 -21.72291557 2.01967703 1
69.16256284 -12.73453776 -12.23474555 2.01897155 1
11.73516409 41.19997509 -36.70423666 2.01758183 1
5.74273988 -17.22908049 -58.67684092 2.01679006 1
-45.69223466 -11.23635684 64.16999199 2.01674749 1
10.23705804 -71.66298698 60.17497303 2.01569274 1
-0.74905303 -60.17693332 -30.71170823 2.01524183 1
-9.23832067 11.23635684 -7.24097186 2.01081555 1
-2.74652777 44.69573056 42.19738773 2.01073304 1
8.23958330 -15.73089958 -17.72789662 2.00679759 2
23.72001253 17.22908049 -61.67310514 2.00496931 1
-5.74273988 -23.72119778 13.73287766 2.00118263 1
25.71748727 15.73089958 -58.67684092 2.00080904 1
