# id type x y z dist_to_ref defect_prob defect_type
62 1 12.43040000 5.18283000 -0.02005940 0.03489102 1.00000000 Lattice
63 1 12.49940000 3.54492000 1.85170000 0.02688455 1.00000000 Lattice
64 1 10.56140000 5.31757000 1.74273000 0.05925192 1.00000000 Lattice
65 1 14.06900000 3.52682000 0.00564178 0.01592809 1.00000000 Lattice
66 1 15.80900000 5.32097000 0.02290190 0.01589402 1.00000000 Lattice
67 1 15.76400000 3.52892000 1.69081000 0.00842441 1.00000000 Lattice
68 1 14.09250000 5.32659000 1.81601000 0.02559874 1.00000000 Lattice
69 1 17.53260000 3.55035000 42.40980000 0.00940663 1.00000000 Lattice
70 1 19.36260000 5.39601000 0.06149900 0.03428145 1.00000000 Lattice
71 1 19.55230000 3.53532000 1.73936000 0.02904871 1.00000000 Lattice
72 1 17.68000000 5.29372000 1.75503000 0.00962452 1.00000000 Lattice
73 1 21.28150000 3.50119000 -0.01288000 0.00696654 1.00000000 Lattice
74 1 23.06690000 5.33789000 42.41410000 0.01884890 1.00000000 Lattice
75 1 23.00630000 3.61788000 1.74103000 0.01095285 1.00000000 Lattice
76 1 21.17720000 5.34106000 1.62365000 0.01216432 1.00000000 Lattice
77 1 24.74190000 3.53062000 42.39880000 0.00663067 1.00000000 Lattice
78 1 26.48330000 5.37035000 0.01399520 0.01948724 1.00000000 Lattice
79 1 26.37920000 3.51515000 1.81573000 0.02201682 1.00000000 Lattice
80 1 24.73590000 5.39743000 1.81884000 0.00684453 1.00000000 Lattice
81 1 28.24960000 3.56862000 0.05217880 0.02911887 1.00000000 Lattice
82 1 29.96340000 5.36858000 0.06561380 0.00534408 1.00000000 Lattice
83 1 29.98990000 3.57570000 1.77102000 0.00938295 1.00000000 Lattice
84 1 28.24200000 5.33701000 1.85017000 0.00279712 1.00000000 Lattice
85 1 31.68280000 3.52512000 0.03599330 0.01620918 1.00000000 Lattice
86 1 33.55670000 5.21836000 0.12063600 0.01504378 1.00000000 Lattice
87 1 33.50270000 3.52763000 1.79248000 0.00540355 1.00000000 Lattice
88 1 31.75240000 5.37142000 1.81128000 0.01396782 1.00000000 Lattice
89 1 35.25750000 3.57626000 0.10893300 0.03669393 1.00000000 Lattice
90 1 37.03490000 5.28737000 -0.02001460 0.03606964 1.00000000 Lattice
91 1 37.07210000 3.62393000 1.74548000 0.01049223 1.00000000 Lattice
92 1 35.29310000 5.24712000 1.81016000 0.04827920 1.00000000 Lattice
93 1 38.83500000 3.60037000 42.36600000 0.02876279 1.00000000 Lattice
94 1 40.59500000 5.31963000 42.41390000 0.02347006 1.00000000 Lattice
95 1 40.58050000 3.53734000 1.70115000 0.01907275 1.00000000 Lattice
96 1 38.84400000 5.26487000 1.72442000 0.00896043 1.00000000 Lattice
97 1 42.35620000 7.11038000 42.35110000 0.01934855 1.00000000 Lattice
98 1 1.77406000 8.77933000 0.00402419 0.02197366 1.00000000 Lattice
99 1 1.74411000 7.04749000 1.71855000 0.03825450 1.00000000 Lattice
100 1 42.36260000 8.78767000 1.65899000 0.01344648 1.00000000 Lattice
101 1 3.60488000 7.03438000 -0.04902480 0.01669181 1.00000000 Lattice
102 1 5.26983000 8.74494000 0.02903170 0.00424674 1.00000000 Lattice
103 1 5.23478000 7.09672000 1.87700000 0.01006786 1.00000000 Lattice
104 1 3.51731000 8.80958000 1.79836000 0.00823306 1.00000000 Lattice
105 1 6.99435000 7.04036000 42.39350000 0.01017939 1.00000000 Lattice
106 1 8.81327000 8.79234000 42.34170000 0.01289791 1.00000000 Lattice
107 1 8.79198000 7.15166000 1.80904000 0.02156401 1.00000000 Lattice
108 1 7.03921000 8.69856000 1.79854000 0.00847061 1.00000000 Lattice
109 1 10.64840000 7.02422000 0.02044640 0.01075902 1.00000000 Lattice
110 1 12.23240000 8.75382000 42.40380000 0.02062063 1.00000000 Lattice
111 1 12.29030000 7.13126000 1.91479000 0.00948303 1.00000000 Lattice
112 1 10.52060000 8.75039000 1.84972000 0.02154065 1.00000000 Lattice
113 1 13.95770000 7.08457000 0.02654070 0.01445876 1.00000000 Lattice
114 1 15.88990000 8.76095000 42.39840000 0.01226720 1.00000000 Lattice
115 1 15.95460000 7.09428000 1.71114000 0.00722766 1.00000000 Lattice
116 1 14.06750000 8.76739000 1.72845000 0.00536130 1.00000000 Lattice
117 1 17.67870000 7.04216000 42.33700000 0.04663335 1.00000000 Lattice
118 1 19.44350000 8.82247000 42.39600000 0.01995475 1.00000000 Lattice
119 1 19.40250000 7.08888000 1.69218000 0.01783666 1.00000000 Lattice
120 1 17.72370000 8.74752000 1.68994000 0.01924913 1.00000000 Lattice
121 1 21.12960000 7.19097000 -0.01344310 0.02119168 1.00000000 Lattice
122 1 22.90260000 8.81423000 42.38530000 0.01776850 1.00000000 Lattice
123 1 22.95960000 7.11282000 1.79928000 0.00569003 1.00000000 Lattice
124 1 21.14280000 8.89935000 1.72935000 0.01001311 1.00000000 Lattice
125 1 24.72940000 7.15199000 0.07934510 0.00715472 1.00000000 Lattice
126 1 26.50160000 8.80568000 42.24270000 0.02947989 1.00000000 Lattice
127 1 26.53150000 7.11329000 1.80578000 0.00657116 1.00000000 Lattice
128 1 24.69490000 8.82750000 1.79888000 0.00896077 1.00000000 Lattice
129 1 28.27260000 7.07524000 0.01649830 0.00720975 1.00000000 Lattice
130 1 29.99750000 8.90829000 42.32040000 0.00990816 1.00000000 Lattice
131 1 29.93010000 7.06607000 1.76332000 0.00757491 1.00000000 Lattice
132 1 28.26940000 8.81853000 1.78260000 0.01560469 1.00000000 Lattice
133 1 31.85480000 6.98446000 0.11409800 0.02175271 1.00000000 Lattice
134 1 33.72340000 8.77573000 0.00798264 0.00972302 1.00000000 Lattice
135 1 33.65300000 7.05739000 1.75639000 0.03446964 1.00000000 Lattice
136 1 31.91440000 8.67783000 1.62530000 0.01404731 1.00000000 Lattice
137 1 35.34970000 6.95639000 0.06592970 0.03621779 1.00000000 Lattice
138 1 36.97110000 8.77732000 0.11163100 0.01781043 1.00000000 Lattice
139 1 36.96890000 6.89326000 1.84227000 0.02540898 1.00000000 Lattice
140 1 35.41040000 8.71985000 1.85758000 0.01482957 1.00000000 Lattice
141 1 38.74100000 7.09544000 42.40890000 0.02241187 1.00000000 Lattice
142 1 40.58060000 8.67509000 42.22960000 0.01960487 1.00000000 Lattice
143 1 40.54510000 7.04681000 1.69898000 0.01447092 1.00000000 Lattice
144 1 38.73930000 8.81921000 1.79191000 0.01724600 1.00000000 Lattice
145 1 -0.02598760 10.69110000 42.35500000 0.01207970 1.00000000 Lattice
146 1 1.71537000 12.30870000 42.38330000 0.01642106 1.00000000 Lattice
147 1 1.62858000 10.57530000 1.73324000 0.00807336 1.00000000 Lattice
148 1 42.39230000 12.39700000 1.67324000 0.01196334 1.00000000 Lattice
149 1 3.49087000 10.52390000 42.36960000 0.03100523 1.00000000 Lattice
150 1 5.28905000 12.33810000 42.37120000 0.01589743 1.00000000 Lattice
151 1 5.26372000 10.54780000 1.81247000 0.01521198 1.00000000 Lattice
152 1 3.56354000 12.38110000 1.67542000 0.01593596 1.00000000 Lattice
153 1 7.02484000 10.51530000 42.38290000 0.01478070 1.00000000 Lattice
154 1 8.83576000 12.30240000 42.41760000 0.03610550 1.00000000 Lattice
